id,peso,grasa,visibilidad,tipo,precio minorista maximo,id tienda unica,inaguracion,tamanho,ubicacion,tipo de tienda,ventas
FDA15,9.3,Bajo,0.016047301,Diariamente,249.8092,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,3735.138
DRC01,5.92,Regular,0.019278216,Bebidas Suaves,48.2692,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,443.4228
FDN15,17.5,Bajo,0.016760075,Carne,141.618,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,2097.27
FDX07,19.2,Regular,0,Frutas y Vegetales,182.095,OUT010,1998,,Sede 3,Abarrotes,732.38
NCD19,8.93,Bajo,0,Productos de casa,53.8614,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,994.7052
FDP36,10.395,Regular,0,Productos para hornear,51.4008,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,556.6088
FDO10,13.65,Regular,0.012741089,Snack,57.6588,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,343.5528
FDP10,,Bajo,0.127469857,Snack,107.7622,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,4022.7636
FDH17,16.2,Regular,0.016687114,Congelados,96.9726,OUT045,2002,,Sede 2,Supermercado Tipo1,1076.5986
FDU28,19.2,Regular,0.09444959,Congelados,187.8214,OUT017,2007,,Sede 2,Supermercado Tipo1,4710.535
FDY07,11.8,Bajo,0,Frutas y Vegetales,45.5402,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,1516.0266
FDA03,18.5,Regular,0.045463773,Diariamente,144.1102,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,2187.153
FDX32,15.1,Regular,0.1000135,Frutas y Vegetales,145.4786,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,1589.2646
FDS46,17.6,Regular,0.047257328,Snack,119.6782,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,2145.2076
FDF32,16.35,Bajo,0.0680243,Frutas y Vegetales,196.4426,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,1977.426
FDP49,9,Regular,0.069088961,Desayuno,56.3614,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,1547.3192
NCB42,11.8,Bajo,0.008596051,Higiene,115.3492,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,1621.8888
FDP49,9,Regular,0.069196376,Desayuno,54.3614,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,718.3982
DRI11,,Bajo,0.034237682,Bebidas Fuertes,113.2834,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,2303.668
FDU02,13.35,Bajo,0.10249212,Diariamente,230.5352,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,2748.4224
FDN22,18.85,Regular,0.138190277,Snack,250.8724,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,3775.086
FDW12,,Regular,0.035399923,Productos para hornear,144.5444,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,4064.0432
NCB30,14.6,Bajo,0.025698134,Productos de casa,196.5084,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,1587.2672
FDC37,,Bajo,0.057556998,Productos para hornear,107.6938,OUT019,1985,Pequeño,Sede 1,Abarrotes,214.3876
FDR28,13.85,Regular,0.025896485,Congelados,165.021,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,4078.025
NCD06,13,Bajo,0.099887103,Productos de casa,45.906,OUT017,2007,,Sede 2,Supermercado Tipo1,838.908
FDV10,7.645,Regular,0.066693437,Snack,42.3112,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,1065.28
DRJ59,11.65,Bajo,0.019356132,Bebidas Fuertes,39.1164,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,308.9312
FDE51,5.925,Regular,0.161466534,Diariamente,45.5086,OUT010,1998,,Sede 3,Abarrotes,178.4344
FDC14,,Regular,0.072221801,Enlatados,43.6454,OUT019,1985,Pequeño,Sede 1,Abarrotes,125.8362
FDV38,19.25,Bajo,0.170348551,Diariamente,55.7956,OUT010,1998,,Sede 3,Abarrotes,163.7868
NCS17,18.6,Bajo,0.080829372,Higiene,96.4436,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,2741.7644
FDP33,18.7,Bajo,0,Snack,256.6672,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,3068.0064
FDO23,17.85,Bajo,0,Panes,93.1436,OUT045,2002,,Sede 2,Supermercado Tipo1,2174.5028
DRH01,17.5,Bajo,0.097904029,Bebidas Suaves,174.8738,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,2085.2856
NCX29,10,Bajo,0.089291137,Higiene,146.7102,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,3791.0652
FDV20,,Regular,0.059511812,Frutas y Vegetales,128.0678,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,2797.6916
DRZ11,8.85,Regular,0.113123893,Bebidas Suaves,122.5388,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,1609.9044
FDX10,,Regular,0.123111453,Snack,36.9874,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,388.1614
FDB34,,Bajo,0.026480954,Snack,87.6198,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,2180.495
FDU02,13.35,Bajo,0.102511504,Diariamente,230.6352,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,3435.528
FDK43,9.8,Bajo,0.02681843,Carne,126.002,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,2150.534
FDA46,13.6,Bajo,0.117818348,Snack,192.9136,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,2527.3768
FDC02,21.35,Bajo,0.069102831,Enlatados,259.9278,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,6768.5228
FDL50,12.15,Regular,0.042277867,Enlatados,126.5046,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,373.5138
FDM39,6.42,LF,0.089498926,Diariamente,178.1002,OUT010,1998,,Sede 3,Abarrotes,358.2004
NCP05,19.6,Bajo,0,Higiene,153.3024,OUT045,2002,,Sede 2,Supermercado Tipo1,2428.8384
FDV49,10,Bajo,0.025879577,Enlatados,265.2226,OUT045,2002,,Sede 2,Supermercado Tipo1,5815.0972
FDL12,15.85,Regular,0.121632721,Productos para hornear,60.622,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,2576.646
FDS02,,Regular,0.255394896,Diariamente,196.8794,OUT019,1985,Pequeño,Sede 1,Abarrotes,780.3176
NCL17,7.39,Bajo,0.067779712,Higiene,143.8812,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,3134.5864
FDM40,10.195,Bajo,0.159803853,Congelados,141.5154,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,850.8924
FDR13,9.895,Regular,0.028696932,Enlatados,117.0492,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,810.9444
FDA43,10.895,Bajo,0.065041581,Frutas y Vegetales,196.3794,OUT017,2007,,Sede 2,Supermercado Tipo1,3121.2704
NCP18,12.15,Bajo,0.028760013,Productos de casa,151.4708,OUT017,2007,,Sede 2,Supermercado Tipo1,4815.0656
FDK21,7.905,Bajo,0.010053105,Snack,249.0408,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,6258.52
NCX54,9.195,Bajo,0.048157338,Productos de casa,106.1622,OUT045,2002,,Sede 2,Supermercado Tipo1,2117.244
DRK35,8.365,Bajo,0.071958197,Bebidas Fuertes,38.0506,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,796.9626
FDY21,15.1,Bajo,0.173481304,Snack,194.511,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,4910.275
FDI26,,Bajo,0.061082177,Enlatados,180.0344,OUT019,1985,Pequeño,Sede 1,Abarrotes,892.172
FDM20,10,Bajo,0,Frutas y Vegetales,246.9144,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,3185.1872
FDV27,7.97,Regular,0.040071131,Carne,87.3514,OUT045,2002,,Sede 2,Supermercado Tipo1,1062.6168
FDF09,,Bajo,0.012090074,Frutas y Vegetales,38.2848,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,484.7024
FDY40,,Regular,0.15028599,Congelados,51.0692,OUT019,1985,Pequeño,Sede 1,Abarrotes,147.8076
FDY45,,Bajo,0.026015519,Snack,255.8356,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,2543.356
